Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
,iphone-15-pro-max,,,,,,,,IPH15PROMAX-NATURALTITANIUM-256G,8901000000203,,Natural Titanium,,,256GB,,,,,999,1078.92,719.28,TRUE,,,,,,shopify,36,DENY,221,g,TRUE,manual,,,,,,,,,,,,IPH15PROMAX-NATURALTITANIUM-256G,,,,,,,,,
,iphone-15-pro-max,,,,,,,,IPH15PROMAX-NATURALTITANIUM-512G,8901000000204,,Natural Titanium,,,512GB,,,,,999,1078.92,719.28,TRUE,,,,,,shopify,25,DENY,221,g,TRUE,manual,,,,,,,,,,,,IPH15PROMAX-NATURALTITANIUM-512G,,,,,,,,,
,iphone-15-pro-max,,,,,,,,IPH15PROMAX-NATURALTITANIUM-1TB,8901000000205,,Natural Titanium,,,1TB,,,,,999,1078.92,719.28,TRUE,,,,,,shopify,8,DENY,221,g,TRUE,manual,,,,,,,,,,,,IPH15PROMAX-NATURALTITANIUM-1TB,,,,,,,,,
,iphone-15-pro-max,,,,,,,,IPH15PROMAX-WHITETITANIUM-256G,8901000000206,,White Titanium,,,256GB,,,,,999,1078.92,719.28,TRUE,,,,,,shopify,18,DENY,221,g,TRUE,manual,,,,,,,,,,,,IPH15PROMAX-WHITETITANIUM-256G,,,,,,,,,
,iphone-15-pro-max,,,,,,,,IPH15PROMAX-WHITETITANIUM-512G,8901000000207,,White Titanium,,,512GB,,,,,999,1078.92,719.28,TRUE,,,,,,shopify,35,DENY,221,g,TRUE,manual,,,,,,,,,,,,IPH15PROMAX-WHITETITANIUM-512G,,,,,,,,,
,iphone-15-pro-max,,,,,,,,IPH15PROMAX-WHITETITANIUM-1TB,8901000000208,,White Titanium,,,1TB,,,,,999,1078.92,719.28,TRUE,,,,,,shopify,29,DENY,221,g,TRUE,manual,,,,,,,,,,,,IPH15PROMAX-WHITETITANIUM-1TB,,,,,,,,,
iPhone 14,iphone-14,"A dependable 6.1-inch iPhone featuring the A15 Bionic chip, OLED display, and dual-camera system.",Apple,Electronics > Communications > Telephony > Mobile Phones,Smartphone,"Apple, iPhone, Smartphone, 5G, iPhone 14",TRUE,Active,IPH14-MIDNIGHT-128G,8901000000300,Color,Midnight,product.metafields.shopify.color-pattern,Storage,128GB,,,,,499,538.92,359.28,TRUE,,,,,,shopify,25,DENY,172,g,TRUE,manual,,,,,FALSE,iPhone 14 | Apple Smartphone & Accessories,"A dependable 6.1-inch iPhone featuring the A15 Bionic chip, OLED display, and dual-camera system.",Midnight,Electronics > Communications > Telephony > Mobile Phones,Unisex,Adult (13+ years old),IPH14-MIDNIGHT-128G,iPhone 14,Apple Demo Catalog,New,FALSE,,,,,
,iphone-14,,,,,,,,IPH14-MIDNIGHT-256G,8901000000301,,Midnight,,,256GB,,,,,499,538.92,359.28,TRUE,,,,,,shopify,17,DENY,172,g,TRUE,manual,,,,,,,,,,,,IPH14-MIDNIGHT-256G,,,,,,,,,
,iphone-14,,,,,,,,IPH14-MIDNIGHT-512G,8901000000302,,Midnight,,,512GB,,,,,499,538.92,359.28,TRUE,,,,,,shopify,21,DENY,172,g,TRUE,manual,,,,,,,,,,,,IPH14-MIDNIGHT-512G,,,,,,,,,
,iphone-14,,,,,,,,IPH14-BLUE-128G,8901000000303,,Blue,,,128GB,,,,,499,538.92,359.28,TRUE,,,,,,shopify,29,DENY,172,g,TRUE,manual,,,,,,,,,,,,IPH14-BLUE-128G,,,,,,,,,
,iphone-14,,,,,,,,IPH14-BLUE-256G,8901000000304,,Blue,,,256GB,,,,,499,538.92,359.28,TRUE,,,,,,shopify,14,DENY,172,g,TRUE,manual,,,,,,,,,,,,IPH14-BLUE-256G,,,,,,,,,
,iphone-14,,,,,,,,IPH14-BLUE-512G,8901000000305,,Blue,,,512GB,,,,,499,538.92,359.28,TRUE,,,,,,shopify,13,DENY,172,g,TRUE,manual,,,,,,,,,,,,IPH14-BLUE-512G,,,,,,,,,
,iphone-14,,,,,,,,IPH14-PURPLE-128G,8901000000306,,Purple,,,128GB,,,,,499,538.92,359.28,TRUE,,,,,,shopify,32,DENY,172,g,TRUE,manual,,,,,,,,,,,,IPH14-PURPLE-128G,,,,,,,,,
,iphone-14,,,,,,,,IPH14-PURPLE-256G,8901000000307,,Purple,,,256GB,,,,,499,538.92,359.28,TRUE,,,,,,shopify,14,DENY,172,g,TRUE,manual,,,,,,,,,,,,IPH14-PURPLE-256G,,,,,,,,,
,iphone-14,,,,,,,,IPH14-PURPLE-512G,8901000000308,,Purple,,,512GB,,,,,499,538.92,359.28,TRUE,,,,,,shopify,30,DENY,172,g,TRUE,manual,,,,,,,,,,,,IPH14-PURPLE-512G,,,,,,,,,
iPhone 14 Plus,iphone-14-plus,Enjoy a larger 6.7-inch Super Retina XDR display with all-day battery life and the powerful A15 Bionic chip.,Apple,Electronics > Communications > Telephony > Mobile Phones,Smartphone,"Apple, iPhone, Plus, Smartphone, 5G",TRUE,Active,IPH14PLUS-MIDNIGHT-128G,8901000000400,Color,Midnight,product.metafields.shopify.color-pattern,Storage,128GB,,,,,599,646.92,431.28,TRUE,,,,,,shopify,30,DENY,203,g,TRUE,manual,,,,,FALSE,iPhone 14 Plus | Apple Smartphone & Accessories,Enjoy a larger 6.7-inch Super Retina XDR display with all-day battery life and the powerful A15 Bionic chip.,Midnight,Electronics > Communications > Telephony > Mobile Phones,Unisex,Adult (13+ years old),IPH14PLUS-MIDNIGHT-128G,iPhone 14 Plus,Apple Demo Catalog,New,FALSE,,,,,
,iphone-14-plus,,,,,,,,IPH14PLUS-MIDNIGHT-256G,8901000000401,,Midnight,,,256GB,,,,,599,646.92,431.28,TRUE,,,,,,shopify,24,DENY,203,g,TRUE,manual,,,,,,,,,,,,IPH14PLUS-MIDNIGHT-256G,,,,,,,,,
,iphone-14-plus,,,,,,,,IPH14PLUS-MIDNIGHT-512G,8901000000402,,Midnight,,,512GB,,,,,599,646.92,431.28,TRUE,,,,,,shopify,10,DENY,203,g,TRUE,manual,,,,,,,,,,,,IPH14PLUS-MIDNIGHT-512G,,,,,,,,,
,iphone-14-plus,,,,,,,,IPH14PLUS-BLUE-128G,8901000000403,,Blue,,,128GB,,,,,599,646.92,431.28,TRUE,,,,,,shopify,37,DENY,203,g,TRUE,manual,,,,,,,,,,,,IPH14PLUS-BLUE-128G,,,,,,,,,
,iphone-14-plus,,,,,,,,IPH14PLUS-BLUE-256G,8901000000404,,Blue,,,256GB,,,,,599,646.92,431.28,TRUE,,,,,,shopify,42,DENY,203,g,TRUE,manual,,,,,,,,,,,,IPH14PLUS-BLUE-256G,,,,,,,,,
,iphone-14-plus,,,,,,,,IPH14PLUS-BLUE-512G,8901000000405,,Blue,,,512GB,,,,,599,646.92,431.28,TRUE,,,,,,shopify,15,DENY,203,g,TRUE,manual,,,,,,,,,,,,IPH14PLUS-BLUE-512G,,,,,,,,,
,iphone-14-plus,,,,,,,,IPH14PLUS-STARLIGHT-128G,8901000000406,,Starlight,,,128GB,,,,,599,646.92,431.28,TRUE,,,,,,shopify,32,DENY,203,g,TRUE,manual,,,,,,,,,,,,IPH14PLUS-STARLIGHT-128G,,,,,,,,,
,iphone-14-plus,,,,,,,,IPH14PLUS-STARLIGHT-256G,8901000000407,,Starlight,,,256GB,,,,,599,646.92,431.28,TRUE,,,,,,shopify,13,DENY,203,g,TRUE,manual,,,,,,,,,,,,IPH14PLUS-STARLIGHT-256G,,,,,,,,,
,iphone-14-plus,,,,,,,,IPH14PLUS-STARLIGHT-512G,8901000000408,,Starlight,,,512GB,,,,,599,646.92,431.28,TRUE,,,,,,shopify,26,DENY,203,g,TRUE,manual,,,,,,,,,,,,IPH14PLUS-STARLIGHT-512G,,,,,,,,,
iPhone SE (3rd Gen),iphone-se-3rd-gen,"A compact iPhone with the familiar Home button, A15 Bionic performance, 5G connectivity, and a single 12MP camera.",Apple,Electronics > Communications > Telephony > Mobile Phones,Smartphone,"Apple, iPhone, SE, Smartphone, 5G",TRUE,Active,IPHSE3-MIDNIGHT-64G,8901000000500,Color,Midnight,product.metafields.shopify.color-pattern,Storage,64GB,,,,,349,376.92,251.28,TRUE,,,,,,shopify,31,DENY,144,g,TRUE,manual,,,,,FALSE,iPhone SE (3rd Gen) | Apple Smartphone & Accessories,"A compact iPhone with the familiar Home button, A15 Bionic performance, 5G connectivity, and a single 12MP camera.",Midnight,Electronics > Communications > Telephony > Mobile Phones,Unisex,Adult (13+ years old),IPHSE3-MIDNIGHT-64G,iPhone SE (3rd Gen),Apple Demo Catalog,New,FALSE,,,,,
,iphone-se-3rd-gen,,,,,,,,IPHSE3-MIDNIGHT-128G,8901000000501,,Midnight,,,128GB,,,,,349,376.92,251.28,TRUE,,,,,,shopify,20,DENY,144,g,TRUE,manual,,,,,,,,,,,,IPHSE3-MIDNIGHT-128G,,,,,,,,,
,iphone-se-3rd-gen,,,,,,,,IPHSE3-MIDNIGHT-256G,8901000000502,,Midnight,,,256GB,,,,,349,376.92,251.28,TRUE,,,,,,shopify,12,DENY,144,g,TRUE,manual,,,,,,,,,,,,IPHSE3-MIDNIGHT-256G,,,,,,,,,
,iphone-se-3rd-gen,,,,,,,,IPHSE3-STARLIGHT-64G,8901000000503,,Starlight,,,64GB,,,,,349,376.92,251.28,TRUE,,,,,,shopify,10,DENY,144,g,TRUE,manual,,,,,,,,,,,,IPHSE3-STARLIGHT-64G,,,,,,,,,
,iphone-se-3rd-gen,,,,,,,,IPHSE3-STARLIGHT-128G,8901000000504,,Starlight,,,128GB,,,,,349,376.92,251.28,TRUE,,,,,,shopify,22,DENY,144,g,TRUE,manual,,,,,,,,,,,,IPHSE3-STARLIGHT-128G,,,,,,,,,
,iphone-se-3rd-gen,,,,,,,,IPHSE3-STARLIGHT-256G,8901000000505,,Starlight,,,256GB,,,,,349,376.92,251.28,TRUE,,,,,,shopify,26,DENY,144,g,TRUE,manual,,,,,,,,,,,,IPHSE3-STARLIGHT-256G,,,,,,,,,
,iphone-se-3rd-gen,,,,,,,,IPHSE3-PRODUCTRED-64G,8901000000506,,Product Red,,,64GB,,,,,349,376.92,251.28,TRUE,,,,,,shopify,13,DENY,144,g,TRUE,manual,,,,,,,,,,,,IPHSE3-PRODUCTRED-64G,,,,,,,,,
,iphone-se-3rd-gen,,,,,,,,IPHSE3-PRODUCTRED-128G,8901000000507,,Product Red,,,128GB,,,,,349,376.92,251.28,TRUE,,,,,,shopify,22,DENY,144,g,TRUE,manual,,,,,,,,,,,,IPHSE3-PRODUCTRED-128G,,,,,,,,,
,iphone-se-3rd-gen,,,,,,,,IPHSE3-PRODUCTRED-256G,8901000000508,,Product Red,,,256GB,,,,,349,376.92,251.28,TRUE,,,,,,shopify,14,DENY,144,g,TRUE,manual,,,,,,,,,,,,IPHSE3-PRODUCTRED-256G,,,,,,,,,
iPhone 15 Plus,iphone-15-plus,"A spacious 6.7-inch display meets A16 Bionic performance, Dynamic Island, and a powerful dual-camera system.",Apple,Electronics > Communications > Telephony > Mobile Phones,Smartphone,"Apple, iPhone, Plus, Smartphone, 5G",TRUE,Active,IPH15PLUS-BLACK-128G,8901000000600,Color,Black,product.metafields.shopify.color-pattern,Storage,128GB,,,,,799,862.92,575.28,TRUE,,,,,,shopify,32,DENY,201,g,TRUE,manual,,,,,FALSE,iPhone 15 Plus | Apple Smartphone & Accessories,"A spacious 6.7-inch display meets A16 Bionic performance, Dynamic Island, and a powerful dual-camera system.",Black,Electronics > Communications > Telephony > Mobile Phones,Unisex,Adult (13+ years old),IPH15PLUS-BLACK-128G,iPhone 15 Plus,Apple Demo Catalog,New,FALSE,,,,,
,iphone-15-plus,,,,,,,,IPH15PLUS-BLACK-256G,8901000000601,,Black,,,256GB,,,,,799,862.92,575.28,TRUE,,,,,,shopify,25,DENY,201,g,TRUE,manual,,,,,,,,,,,,IPH15PLUS-BLACK-256G,,,,,,,,,
,iphone-15-plus,,,,,,,,IPH15PLUS-BLACK-512G,8901000000602,,Black,,,512GB,,,,,799,862.92,575.28,TRUE,,,,,,shopify,37,DENY,201,g,TRUE,manual,,,,,,,,,,,,IPH15PLUS-BLACK-512G,,,,,,,,,
,iphone-15-plus,,,,,,,,IPH15PLUS-BLUE-128G,8901000000603,,Blue,,,128GB,,,,,799,862.92,575.28,TRUE,,,,,,shopify,31,DENY,201,g,TRUE,manual,,,,,,,,,,,,IPH15PLUS-BLUE-128G,,,,,,,,,
,iphone-15-plus,,,,,,,,IPH15PLUS-BLUE-256G,8901000000604,,Blue,,,256GB,,,,,799,862.92,575.28,TRUE,,,,,,shopify,18,DENY,201,g,TRUE,manual,,,,,,,,,,,,IPH15PLUS-BLUE-256G,,,,,,,,,
,iphone-15-plus,,,,,,,,IPH15PLUS-BLUE-512G,8901000000605,,Blue,,,512GB,,,,,799,862.92,575.28,TRUE,,,,,,shopify,31,DENY,201,g,TRUE,manual,,,,,,,,,,,,IPH15PLUS-BLUE-512G,,,,,,,,,
,iphone-15-plus,,,,,,,,IPH15PLUS-PINK-128G,8901000000606,,Pink,,,128GB,,,,,799,862.92,575.28,TRUE,,,,,,shopify,30,DENY,201,g,TRUE,manual,,,,,,,,,,,,IPH15PLUS-PINK-128G,,,,,,,,,
,iphone-15-plus,,,,,,,,IPH15PLUS-PINK-256G,8901000000607,,Pink,,,256GB,,,,,799,862.92,575.28,TRUE,,,,,,shopify,21,DENY,201,g,TRUE,manual,,,,,,,,,,,,IPH15PLUS-PINK-256G,,,,,,,,,
,iphone-15-plus,,,,,,,,IPH15PLUS-PINK-512G,8901000000608,,Pink,,,512GB,,,,,799,862.92,575.28,TRUE,,,,,,shopify,25,DENY,201,g,TRUE,manual,,,,,,,,,,,,IPH15PLUS-PINK-512G,,,,,,,,,
iPhone 15 Pro 256GB,iphone-15-pro-256gb,"A premium titanium iPhone designed for demanding users, with A17 Pro performance and a professional-grade camera system.",Apple,Electronics > Communications > Telephony > Mobile Phones,Smartphone,"Apple, iPhone, Pro, Smartphone, 256GB",TRUE,Active,IPH15PRO256-BLACKTITANIUM-256G,8901000000700,Color,Black Titanium,product.metafields.shopify.color-pattern,Storage,256GB,,,,,949,1024.92,683.28,TRUE,,,,,,shopify,12,DENY,187,g,TRUE,manual,,,,,FALSE,iPhone 15 Pro 256GB | Apple Smartphone & Accessories,"A premium titanium iPhone designed for demanding users, with A17 Pro performance and a professional-grade camera system.",Black Titanium,Electronics > Communications > Telephony > Mobile Phones,Unisex,Adult (13+ years old),IPH15PRO256-BLACKTITANIUM-256G,iPhone 15 Pro 256GB,Apple Demo Catalog,New,FALSE,,,,,
,iphone-15-pro-256gb,,,,,,,,IPH15PRO256-BLUETITANIUM-256G,8901000000701,,Blue Titanium,,,256GB,,,,,949,1024.92,683.28,TRUE,,,,,,shopify,18,DENY,187,g,TRUE,manual,,,,,,,,,,,,IPH15PRO256-BLUETITANIUM-256G,,,,,,,,,
,iphone-15-pro-256gb,,,,,,,,IPH15PRO256-WHITETITANIUM-256G,8901000000702,,White Titanium,,,256GB,,,,,949,1024.92,683.28,TRUE,,,,,,shopify,42,DENY,187,g,TRUE,manual,,,,,,,,,,,,IPH15PRO256-WHITETITANIUM-256G,,,,,,,,,
iPhone 15 Pro Max 512GB,iphone-15-pro-max-512gb,"Go further with the large Pro Max display, A17 Pro chip, advanced cameras, and generous 512GB storage.",Apple,Electronics > Communications > Telephony > Mobile Phones,Smartphone,"Apple, iPhone, Pro Max, Smartphone, 512GB",TRUE,Active,IPH15PM512-BLACKTITANIUM-512G,8901000000800,Color,Black Titanium,product.metafields.shopify.color-pattern,Storage,512GB,,,,,1149,1240.92,827.28,TRUE,,,,,,shopify,23,DENY,221,g,TRUE,manual,,,,,FALSE,iPhone 15 Pro Max 512GB | Apple Smartphone & Accessories,"Go further with the large Pro Max display, A17 Pro chip, advanced cameras, and generous 512GB storage.",Black Titanium,Electronics > Communications > Telephony > Mobile Phones,Unisex,Adult (13+ years old),IPH15PM512-BLACKTITANIUM-512G,iPhone 15 Pro Max 512GB,Apple Demo Catalog,New,FALSE,,,,,
,iphone-15-pro-max-512gb,,,,,,,,IPH15PM512-BLUETITANIUM-512G,8901000000801,,Blue Titanium,,,512GB,,,,,1149,1240.92,827.28,TRUE,,,,,,shopify,18,DENY,221,g,TRUE,manual,,,,,,,,,,,,IPH15PM512-BLUETITANIUM-512G,,,,,,,,,
,iphone-15-pro-max-512gb,,,,,,,,IPH15PM512-NATURALTITANIUM-512G,8901000000802,,Natural Titanium,,,512GB,,,,,1149,1240.92,827.28,TRUE,,,,,,shopify,37,DENY,221,g,TRUE,manual,,,,,,,,,,,,IPH15PM512-NATURALTITANIUM-512G,,,,,,,,,
Silicone Case with MagSafe,silicone-case-with-magsafe,A soft-touch silicone case with built-in MagSafe magnets provides reliable protection while keeping wireless charging effortless.,Apple,Electronics > Accessories > Mobile Phone Accessories > Mobile Phone Cases,Phone Case,"Apple, iPhone, Case, MagSafe, Accessory",TRUE,Active,CASEMS-BLACK,8901000000900,Color,Black,product.metafields.shopify.color-pattern,,,,,,,49,52.92,35.28,TRUE,,,,,,shopify,32,DENY,45,g,TRUE,manual,,,,,FALSE,Silicone Case with MagSafe | Apple Smartphone & Accessories,A soft-touch silicone case with built-in MagSafe magnets provides reliable protection while keeping wireless charging effortless.,Black,Electronics > Electronics Accessories,Unisex,Adult (13+ years old),CASEMS-BLACK,Silicone Case with MagSafe,Apple Demo Catalog,New,FALSE,,,,,
,silicone-case-with-magsafe,,,,,,,,CASEMS-STORMBLUE,8901000000901,,Storm Blue,,,,,,,,49,52.92,35.28,TRUE,,,,,,shopify,25,DENY,45,g,TRUE,manual,,,,,,,,,,,,CASEMS-STORMBLUE,,,,,,,,,
,silicone-case-with-magsafe,,,,,,,,CASEMS-WINTERBLUE,8901000000902,,Winter Blue,,,,,,,,49,52.92,35.28,TRUE,,,,,,shopify,22,DENY,45,g,TRUE,manual,,,,,,,,,,,,CASEMS-WINTERBLUE,,,,,,,,,
